game_id,home_team_id,away_team_id,home_score,away_score,location,game_date,game_time
6475467,C-M-S,REDLAN,4,0,,2025-09-27,20:00:00
6475469,REDLAN,CALLUT,1,4,"{'__typename': 'Location', 'venue': 'Farquhar Field', 'city': 'Redlands', 'stateUsps': 'CA'}",2025-10-01,20:00:00
6475471,REDLAN,POMPIT,0,2,"{'__typename': 'Location', 'venue': 'Farquhar Field', 'city': 'Redlands', 'stateUsps': 'CA'}",2025-10-08,20:00:00
6475474,WHITTI,REDLAN,3,0,,2025-10-11,18:00:00
6475476,CHAPMN,REDLAN,2,0,,2025-10-15,17:00:00
6475478,REDLAN,C-M-S,0,5,"{'__typename': 'Location', 'venue': 'Farquhar Field', 'city': 'Redlands', 'stateUsps': 'CA'}",2025-10-18,12:00:00
6475480,REDLAN,CALTEC,3,0,"{'__typename': 'Location', 'venue': 'Farquhar Field', 'city': 'Redlands', 'stateUsps': 'CA'}",2025-10-25,12:00:00
6475483,LAVERN,REDLAN,1,0,,2025-10-29,20:00:00
6475485,POMPIT,REDLAN,2,1,,2025-11-01,12:00:00
6475489,,NC MIN,0,1,,2025-09-02,15:00:00
6475491,GRCBBL,NC MIN,4,1,,2025-09-05,11:00:00
6475496,NC MIN,BETHLU,0,7,,2025-09-27,15:30:00
6475498,MNMORR,NC MIN,5,1,,2025-10-04,13:30:00
6475500,NWSTPL,NC MIN,6,0,,2025-10-07,18:00:00
6475503,NC MIN,NWSTPL,0,9,,2025-10-15,12:00:00
6475507,NC MIN,MARTLU,0,3,,2025-10-18,12:00:00
6475512,MUSKIN,HIRAM,1,0,,2025-09-03,17:00:00
6475514,KENYON,HIRAM,2,0,"{'__typename': 'Location', 'venue': 'Mavec Field', 'city': 'Gambier', 'stateUsps': 'OH'}",2025-09-09,14:30:00
6475516,HIRAM,PITTBR,5,0,,2025-09-16,22:00:00
6475518,BETHLU,NC MIN,9,1,,2025-10-25,12:00:00
6475520,WAJEFF,HIRAM,2,0,,2025-09-27,13:00:00
6475523,HIRAM,ST VIN,0,3,,2025-10-04,17:00:00
6475525,CAIRN,EASTRN,0,4,,2025-09-06,11:00:00
6475527,NC MIN,MNMORR,1,1,,2025-10-29,12:00:00
6475529,HIRAM,GROVE,0,4,,2025-10-08,14:30:00
6475532,DELVAL,EASTRN,0,3,"{'__typename': 'Location', 'venue': 'Robert A. Lipinski Field at James Work Memorial Stadium', 'city': 'Doylestown', 'stateUsps': 'PA'}",2025-09-09,14:00:00
6475534,BETHWV,HIRAM,1,3,,2025-10-15,14:00:00
6475536,FRANCI,HIRAM,4,1,,2025-10-25,11:00:00
6475538,EASTRN,GCHER,3,0,,2025-09-20,12:30:00
6475540,EASTRN,MISERI,0,0,,2025-09-30,13:30:00
6475543,HOOD,EASTRN,0,2,,2025-10-04,11:00:00
6475545,YORKPA,EASTRN,1,0,"{'__typename': 'Location', 'venue': 'Graham Field', 'city': 'York', 'stateUsps': 'PA'}",2025-10-18,10:00:00
6475547,EASTRN,WIDEN,0,0,,2025-11-01,09:00:00
6475549,BOWDOI,THOMAS,9,1,,2025-09-02,22:00:00
6475552,CBYSAW,THOMAS,2,0,,2025-09-07,12:00:00
6475554,THOMAS,SUNY D,2,1,,2025-09-13,11:00:00
6475556,THOMAS,COBLES,3,1,,2025-09-14,10:00:00
6475558,,THOMAS,1,2,,2025-09-20,11:00:00
6475561,THOMAS,STJOME,0,4,,2025-10-01,17:00:00
6475563,JOHNST,THOMAS,0,0,,2025-10-11,11:00:00
6475565,LYNDON,THOMAS,0,12,,2025-10-12,10:00:00
6475567,LESLEY,THOMAS,5,0,,2025-10-18,10:00:00
6475570,ME PI,THOMAS,2,6,,2025-10-24,22:00:00
6475572,ANNAMA,ALBMAG,1,4,,2025-09-17,14:00:00
6475577,MASSMA,ANNAMA,0,1,,2025-09-27,10:00:00
6475579,BRIDVA,CATH,2,0,,2025-09-03,14:00:00
6475581,ANNAMA,WENTWO,0,0,,2025-10-01,16:00:00
6475584,HAVFRD,CATH,1,3,,2025-09-06,12:00:00
6475586,SAGE,NICHOL,1,0,,2025-09-02,22:00:00
6475588,MCLA,ANNAMA,0,0,,2025-10-03,16:00:00
6475590,CATH,MARYVA,1,1,,2025-09-10,16:00:00
6475593,ANNAMA,JONJAY,0,1,,2025-10-08,16:00:00
6475595,SAGE,W CONN,0,1,,2025-09-16,22:00:00
6475597,CATH,GCHER,8,0,,2025-10-07,17:00:00
6475599,CATH,DREW,4,0,,2025-10-18,11:00:00
6475602,SAGE,ALFRED,0,2,,2025-09-19,22:00:00
6475604,SCRANT,CATH,0,0,"{'__typename': 'Location', 'venue': 'Weiss Field ', 'city': 'Scranton', 'stateUsps': 'PA'}",2025-10-25,11:00:00
6475606,SAGE,SUNYGE,0,3,,2025-09-27,12:00:00
